,trans_date_trans_time,cc_num,merchant,category,amt,first,last,gender,street,city,state,zip,lat,long,city_pop,job,dob,trans_num,unix_time,merch_lat,merch_long,is_fraud
14,8/24/2020 2:35,4.47E+12,fraud_Stracke-Lemke,grocery_pos,289.76,Dakota,Maldonado,M,369 Cochran Radial,Pelham,NC,27311,36.4899,-79.4736,3402,Insurance underwriter,10/24/1927,a2c7b3935faf28cc263a3fd3a6c2aa7a,1377311751,37.092267,-79.171126,1
15,6/25/2020 23:01,3.59E+15,fraud_Goyette Inc,shopping_net,976.48,Laura,Casey,F,6114 Moran Way,Steuben,ME,4680,44.4971,-67.9503,1131,Make,5/10/1959,49a574fd22e8a19f229830c40eda50b2,1372201279,44.955637,-67.503251,1
16,8/4/2020 22:11,4.73E+15,fraud_Schumm PLC,shopping_net,918.58,Alex,White,M,874 Fred Knolls Apt. 609,Orient,NY,11957,41.1437,-72.2879,743,Video editor,9/19/1968,72b28ca88355fea9e986f03a576d39c6,1375654312,40.680353,-73.043091,1
17,9/7/2020 0:39,3.69E+13,fraud_Miller-Harris,misc_net,940.42,Ana,Mccormick,F,4503 Patricia Route,Meridian,ID,83646,43.6498,-116.4306,84106,Intelligence analyst,2/11/1971,2d0d496b9fe1d9f475bf32750feaa043,1378514356,43.978747,-117.380355,1
18,6/21/2020 15:51,4.84E+15,"fraud_Yost, Schamberger and Windler",kids_pets,66.95,Susan,Hardy,F,516 Brown Parks,Manistique,MI,49854,46.0062,-86.2555,6469,Trade mark attorney,4/12/1979,632e4a836ec213f83bc438d82565884f,1371829915,45.313945,-86.560991,0
19,6/21/2020 20:19,4.59E+12,fraud_Wilkinson PLC,kids_pets,45.67,Melody,Thompson,F,0362 Anderson Wall,Mound City,MO,64470,40.1362,-95.2138,1631,Architect,1/20/1953,a3c5a557b0e9a4b9ab9144602f9ab19d,1371845968,40.152569,-95.153766,0
20,6/21/2020 16:27,3.53E+15,fraud_Yost-Rogahn,personal_care,2.93,Scott,Fuller,M,861 Karen Common,Haw River,NC,27258,36.0424,-79.3242,6006,Paramedic,7/20/1984,a69ed8d3905642331748f5a171c822e0,1371832056,35.080655,-80.218464,0
21,6/21/2020 17:12,6.54E+15,fraud_O'Keefe-Wisoky,food_dining,26.23,Jodi,Rodriguez,F,5796 Lee Coves Apt. 286,Walnut Ridge,AR,72476,36.0244,-90.9288,7155,"Engineer, control and instrumentation",3/23/1977,71ae875058e35bbc1876f3fdc6d64eef,1371834770,36.506252,-91.230917,0
22,6/21/2020 22:43,4.56E+12,fraud_Waelchi-Wolf,kids_pets,88.05,Jacqueline,Allen,F,166 Lisa Fords,Greenwood,IN,46143,39.596,-86.1309,78968,Financial adviser,2/10/1968,aea8072d1a4bfb759abc8f29f5da80de,1371854598,38.658908,-86.522101,0
23,6/21/2020 23:39,1.80E+14,"fraud_Zemlak, Tillman and Cremin",personal_care,137.69,Mary,Wall,F,2481 Mills Lock,Plainfield,NJ,7060,40.6152,-74.415,71485,Leisure centre manager,7/19/1974,aa3731853dea1d615ded52cd7f3474f9,1371857981,40.518022,-75.353592,0
24,6/21/2020 14:42,3.04E+13,fraud_Nolan-Williamson,kids_pets,54.15,Greg,Villarreal,M,2851 Foster Shoals,Schaefferstown,PA,17088,40.3087,-76.2963,823,Gaffer,7/2/1982,26d9f09029bed36b06f8bf8dc35245e6,1371825725,39.735693,-76.62979,0
25,6/24/2020 23:06,1.80E+14,"fraud_Mosciski, Ziemann and Farrell",shopping_net,902.3,Dennis,Davidson,M,08469 Trujillo Forge,Springville,NY,14141,42.52,-78.6847,7728,"Scientist, research (maths)",3/30/1959,6e37d3d1cc9d701679fd3910c20808d6,1372115194,41.940223,-78.541627,1
26,6/21/2020 23:38,4.79E+18,fraud_Goyette-Herzog,travel,2.94,Margaret,Mendez,F,7952 Karen Pike,De Soto,KS,66018,38.9462,-94.9714,5760,Chief Executive Officer,10/1/1978,7d13cd9abd1ee268bd608924fc2c032c,1371857938,38.305043,-95.07734,0
27,6/28/2020 2:01,3.58E+15,fraud_Heidenreich PLC,grocery_pos,314.28,Gregory,Wood,M,622 Robert Summit,Akron,OH,44307,41.0695,-81.5488,272134,Call centre manager,3/15/1964,cc544877174677085ec9ae06d02d2c85,1372384909,40.256607,-81.036006,1
28,8/27/2020 2:52,6.01E+15,"fraud_Schaefer, Maggio and Daugherty",gas_transport,8.91,Haley,Wagner,F,05561 Farrell Crescent,Annapolis,MD,21405,39.0305,-76.5515,92106,"Accountant, chartered certified",5/28/1943,8f98267ea084a1e961c882fb0ae0d655,1377571966,38.816774,-77.148697,1
29,6/21/2020 15:18,3.76E+14,fraud_Watsica LLC,personal_care,75.69,Aaron,Murray,M,624 Hale Springs Apt. 572,Meadville,MO,64659,39.7795,-93.3014,964,Tourist information centre manager,12/23/1974,1e774f647e1666bfd3bf9653e2d0cedc,1371827881,40.662681,-92.930413,0
30,6/21/2020 19:20,4.94E+15,"fraud_Baumbach, Hodkiewicz and Walsh",shopping_pos,103.65,Michelle,Johnston,F,3531 Hamilton Highway,Roma,TX,78584,26.4215,-99.0025,18128,IT trainer,11/7/1990,c899dbd432f45abf6256a6403f37c69c,1371842429,26.789928,-99.023219,0
31,6/21/2020 16:28,4.07E+15,fraud_Dibbert-Green,entertainment,51.41,Kimberly,Martin,F,1943 Dennis Inlet Suite 145,Hurricane,WV,25526,38.4257,-81.9943,21902,Sub,9/18/1980,a343a3943699bba501d62cbe886352f9,1371832133,39.116398,-81.919364,0
32,6/21/2020 21:17,3.52E+15,fraud_Johns-Hoeger,entertainment,127.56,Dorothy,Thomas,F,537 Rice Square Suite 040,Milford,OH,45150,39.1657,-84.233,31394,Hospital doctor,11/12/1996,9318631f9549f55c04e2906b866d2bd8,1371849445,38.62695,-84.296507,0
33,6/26/2020 5:56,2.13E+14,"fraud_Schaefer, Maggio and Daugherty",gas_transport,8.32,Alyssa,Morgan,F,622 Robin Run Suite 764,Gadsden,AL,35901,34.048,-85.9246,67082,Physiological scientist,2/9/1963,01bbbf7a906610fe6f4fd20c7d4ca99a,1372226213,33.27753,-86.362105,1
34,6/21/2020 12:34,4.71E+18,"fraud_Wuckert, Wintheiser and Friesen",home,30.72,Juan,Henry,M,9795 Lori Island Suite 346,Turner,MT,59542,48.8328,-108.3961,192,Further education lecturer,1/4/1964,18aeb4f97adbab1170c6c1b60b82c228,1371818075,48.456992,-107.518067,0
35,6/21/2020 22:23,4.47E+15,fraud_Lind-Buckridge,entertainment,104.02,Matthew,Russell,M,168 Michael Coves Suite 343,June Lake,CA,93529,37.7773,-119.0825,633,Health service manager,9/9/1927,a3f9b6ab1bd0e8b842c90802a8974fa7,1371853411,37.919816,-119.855752,0
36,6/21/2020 12:29,4.78E+12,"fraud_Fadel, Mertz and Rippin",entertainment,46.67,Jessica,Garcia,F,13108 Jennifer Passage,Mc Cracken,KS,67556,38.5957,-99.554,320,Film/video editor,4/22/1961,822cd909aeb6a351637b5f9ba9866f19,1371817765,39.456658,-99.569786,0
37,6/21/2020 16:34,6.51E+15,fraud_Dibbert and Sons,entertainment,36.14,Robert,Nguyen,M,74835 Garner Point,Ruth,NV,89319,39.3426,-114.8859,450,Interpreter,8/24/1946,0bd9497b8731d94f3ce749ba26add341,1371832454,38.451359,-115.151069,0
38,8/13/2020 20:21,2.24E+15,fraud_Reilly and Sons,health_fitness,22.55,Melissa,Mcclure,F,2027 Snyder Track,Manville,WY,82227,42.73,-104.7024,241,Educational psychologist,12/16/1980,eccfc9201c7a5e0a8487f8e2b510ef7b,1376425288,42.641556,-104.961137,1
39,6/21/2020 23:49,6.76E+11,fraud_Waelchi Inc,kids_pets,20.42,David,Wolfe,M,81261 Garcia Underpass Suite 741,Southfield,MI,48034,42.4969,-83.2911,75830,"Engineer, automotive",12/28/1974,3cb1772c9cd885d1a6f747d1e6c952fb,1371858553,42.443288,-83.600238,0
40,8/2/2020 2:54,3.58E+15,fraud_Bradtke PLC,grocery_pos,348.61,Mary,Humphrey,F,9853 Flynn Hollow Apt. 602,Reynolds,ND,58275,47.7068,-97.2092,733,Visual merchandiser,11/12/1994,3d90fb83a6a609f3d341a6f0867a9911,1375412082,47.442871,-96.809288,1
41,8/30/2020 3:19,6.60E+15,fraud_Cartwright-Harris,grocery_pos,284.36,Spencer,Williams,M,1145 Tony Drive Suite 080,Watertown,MN,55388,44.9595,-93.8482,5619,Licensed conveyancer,1/15/1959,d1fd23629ad55e16e6d400ea1e25dbe5,1377832799,45.917657,-94.36403,1
42,6/21/2020 23:48,3.58E+15,fraud_Heaney-Marquardt,entertainment,46.93,Crystal,Gamble,F,899 Michele View Suite 960,Philadelphia,PA,19149,40.0369,-75.0664,1526206,Structural engineer,1/1/1985,0b01caece7461da614e87cc5527bfc03,1371858523,40.018141,-74.785727,0
43,6/21/2020 13:56,4.36E+18,fraud_Bode-Schuster,kids_pets,103.86,Tanner,Davis,M,2632 Stevens Light Apt. 213,Payson,IL,62360,39.8153,-91.2627,1656,Exhibition designer,8/4/1969,9e0eb5c4ef1cc2be861234646dd13d8d,1371823014,39.50161,-92.128369,0
44,6/21/2020 16:48,3.57E+15,fraud_O'Hara-Wilderman,food_dining,173.2,Warren,Daniels,M,23656 Harris Gardens Suite 698,El Paso,TX,79906,31.8092,-106.4247,749635,Market researcher,1/21/1973,321a5e6d9cd372fd5b4a7d1545df275e,1371833313,31.031596,-106.134405,0
45,6/21/2020 22:45,3.56E+15,"fraud_Schiller, Blanda and Johnson",home,139.17,Jose,Vasquez,M,572 Davis Mountains,Lake Jackson,TX,77566,29.0393,-95.4401,28739,Futures trader,12/27/1999,c13307c52b2f378e768a55b9a155505c,1371854732,28.337501,-95.054358,0
46,6/21/2020 21:26,6.50E+15,fraud_Fadel Inc,health_fitness,82.27,Carrie,Lewis,F,28925 Powell Mountains Apt. 762,Pecos,TX,79772,31.4467,-103.5791,12747,"Merchandiser, retail",5/5/1987,de47cbb0e76d697671ffcc5116906c08,1371849971,32.20051,-102.733437,0
47,6/21/2020 18:37,5.02E+11,fraud_Fritsch and Sons,health_fitness,18.55,Robert,Flores,M,3277 Fields Meadows Apt. 790,Greenview,CA,96037,41.5403,-122.9366,308,Call centre manager,9/20/1958,510f3115edf302752ff7735e308e6fc9,1371839857,42.216375,-123.556738,0
48,9/5/2020 22:29,3.41E+14,fraud_McDermott-Weimann,grocery_pos,269.12,Mario,Johns,M,62130 Miller Square Suite 785,Brinson,GA,39825,30.9788,-84.7373,1461,"Engineer, broadcasting (operations)",9/8/1935,86fd97820341edd775110246056ca886,1378420196,31.567842,-84.228081,1
49,6/21/2020 15:58,4.23E+15,fraud_Rau-Robel,kids_pets,80.3,Tyler,Mills,M,7838 Jason Squares,Elizabethtown,KY,42701,37.6848,-85.8784,48194,Surgeon,5/3/1990,61b3b3327213935310a3b3c6f1a36d5a,1371830329,37.516495,-85.788699,0
50,6/21/2020 22:50,3.58E+15,fraud_Kuhn Group,food_dining,58.45,Dawn,Gray,F,9486 Joel Common Suite 554,Topeka,KS,66618,39.1329,-95.7023,163415,Secondary school teacher,12/30/2004,05073b852a9abddbad71cb39d64e97e2,1371855010,39.307833,-96.212926,0
51,6/21/2020 14:09,4.56E+12,fraud_Kilback LLC,food_dining,21.97,Daniel,Briggs,M,7118 Jessica Unions Apt. 789,Moriarty,NM,87035,34.9889,-106.0609,7268,"Therapist, art",8/4/1988,da217337f78a96cba4874f7cba77f14e,1371823746,34.032854,-106.270102,0
52,6/21/2020 15:50,1.80E+14,fraud_Baumbach Ltd,personal_care,127.36,Sharon,Smith,F,17666 David Valleys,Sun City,CA,92585,33.7467,-117.1721,54287,"Designer, exhibition/display",9/22/1972,319496418cf69ab548a30f2bb4bc720d,1371829841,34.527954,-116.63425,0
53,6/21/2020 16:33,4.07E+15,fraud_Kozey-Kuhlman,personal_care,4.55,Kimberly,Martin,F,1943 Dennis Inlet Suite 145,Hurricane,WV,25526,38.4257,-81.9943,21902,Sub,9/18/1980,8b45025f53ffeb4c0e6f032ec7fcee4f,1371832420,39.127097,-82.504994,0
54,6/21/2020 23:17,6.01E+15,fraud_Smith-Stokes,misc_pos,3.71,Vincent,Ward,M,06730 Joshua Isle Suite 555,North Brookfield,MA,1535,42.2665,-72.0821,4680,Field seismologist,4/3/1986,c53b78980368cd841cafedfb8a61d9cd,1371856621,41.892731,-71.283269,0
55,6/21/2020 23:29,4.17E+15,fraud_Roob-Okuneva,health_fitness,14.17,Ashley,Mcdonald,F,3160 Tina Estates Suite 234,Marietta,SC,29661,35.0296,-82.5136,5648,Museum/gallery exhibitions officer,10/6/1934,b6488ac0736223ea0a95aff641fa0340,1371857397,35.588484,-81.599065,0
56,6/21/2020 14:14,3.55E+15,fraud_Bednar PLC,kids_pets,68.35,Jerry,Robinson,M,212 Mary Stream,Arcadia,MI,49613,44.5232,-86.2061,680,"Designer, jewellery",12/21/1966,1eb1984e3e6f2701eb51b4e1aa2dfba8,1371824044,44.584912,-86.889323,0
57,6/21/2020 14:39,3.01E+13,fraud_Price Inc,shopping_net,62.44,Brianna,Foley,F,57256 Raymond Ports,Knoxville,TN,37932,35.9335,-84.1481,391389,"Designer, industrial/product",4/22/1994,09a7e44e3074e4231e38003d2bee5569,1371825587,35.953776,-83.183658,0
58,6/21/2020 14:53,5.36E+15,fraud_Wuckert-Goldner,home,88.67,Michael,Francis,M,1833 Jeanette Stravenue,Belgrade,MT,59714,45.7801,-111.1439,18182,"Engineer, drilling",6/29/1975,98f845094f14ab7c1fe861d5e4e19de6,1371826394,45.033353,-110.733222,0
59,6/21/2020 16:57,1.80E+14,"fraud_Durgan, Gislason and Spencer",home,36.5,Mary,Wall,F,2481 Mills Lock,Plainfield,NJ,7060,40.6152,-74.415,71485,Leisure centre manager,7/19/1974,da55f2609ea25a6395d2c6a31db1c184,1371833861,39.934302,-74.762902,0
60,6/21/2020 15:50,3.52E+15,fraud_Klein Group,entertainment,31.07,Antonio,Koch,M,8738 Richard Brooks,Moab,UT,84532,38.5677,-109.5271,9772,Location manager,11/24/1989,69e158622e98781212c91ea82ba24dda,1371829837,38.352791,-109.843743,0
61,6/21/2020 18:54,3.59E+15,fraud_Schoen-Quigley,kids_pets,51.25,Christian,Roman,M,495 Fisher Throughway,Grand Junction,TN,38039,35.0659,-89.1534,1804,Clothing/textile technologist,10/15/1974,28f3f6fd19d0a83beb34667c33c49d16,1371840840,35.222054,-88.24129,0
62,6/21/2020 13:42,2.23E+15,fraud_Zboncak Ltd,food_dining,64.18,Thomas,Hale,M,949 Smith Parkway,Cazenovia,WI,53924,43.4987,-90.2796,1360,Occupational hygienist,11/6/1984,dbc4a5cc4cbf43decad95cf6c1c483e1,1371822151,44.02909,-90.00741,0
63,9/1/2020 18:48,1.80E+14,"fraud_Little, Gutmann and Lynch",shopping_net,970.72,Evan,Santiago,M,9652 Ford Ford Apt. 566,Arlington,VA,22204,38.859,-77.0997,207410,Historic buildings inspector/conservation officer,11/14/1968,a3a2b2997f0b20138e5221e7f64b8e0e,1378061337,39.392155,-76.610457,1
64,6/21/2020 22:02,3.69E+13,"fraud_Becker, Harris and Harvey",personal_care,43.13,Ana,Mccormick,F,4503 Patricia Route,Meridian,ID,83646,43.6498,-116.4306,84106,Intelligence analyst,2/11/1971,8bf847373b6b69d45aae1ace4acd9b5a,1371852179,43.273858,-115.950446,0
65,7/21/2020 1:43,2.27E+15,fraud_Friesen Inc,shopping_pos,694.91,Peggy,Berry,F,517 Vasquez Lodge,Vancouver,WA,98665,45.6892,-122.6616,299480,Teaching laboratory technician,1/2/1985,c645750796d982e5e4d9b073769fc9ae,1374370985,44.932577,-123.071139,1
66,6/21/2020 15:07,3.76E+14,"fraud_Runte, Green and Emard",health_fitness,168.15,Nathan,Mayer,M,478 Donovan Corners Apt. 803,Schaumburg,IL,60193,42.0144,-88.0935,92294,Claims inspector/assessor,5/1/1969,5ad686cf10c617e443e564926a281829,1371827237,41.911365,-88.177836,0
67,6/29/2020 23:55,3.58E+15,fraud_Brown PLC,misc_net,793.07,Gregory,Wood,M,622 Robert Summit,Akron,OH,44307,41.0695,-81.5488,272134,Call centre manager,3/15/1964,a7b0e7daa0740e90defdfb8016a2c5d7,1372550118,41.703644,-80.949957,1
68,6/21/2020 17:25,6.60E+15,fraud_Schiller Ltd,personal_care,66.74,Bill,Lane,M,4725 Hurst Curve Apt. 634,Holliday,TX,76366,33.6751,-98.6576,2317,Chief Technology Officer,8/23/1964,98af3d2c0182260ed43bf57546d0ca08,1371835509,34.596575,-98.720313,0
69,6/21/2020 14:34,4.90E+18,fraud_Pacocha-Bauch,shopping_pos,6.65,Randy,Wood,M,542 Howe Mission Apt. 092,Port Richey,FL,34668,28.3011,-82.6927,42619,Environmental education officer,10/7/1975,5035e9c476f3082848e7152521566b01,1371825279,27.352228,-81.706377,0
70,6/24/2020 3:33,1.80E+14,fraud_Huels-Hahn,gas_transport,7.82,Dennis,Davidson,M,08469 Trujillo Forge,Springville,NY,14141,42.52,-78.6847,7728,"Scientist, research (maths)",3/30/1959,75ecf87a722ea6a87d1d0dbb72919412,1372044820,41.864069,-79.633384,1
71,6/21/2020 18:43,2.13E+14,fraud_Schroeder Group,health_fitness,119.79,Rebecca,Conley,F,181 Moreno Light Apt. 215,Tomahawk,WI,54487,45.4963,-89.7273,9594,Seismic interpreter,11/23/1997,6c10dd063975722dd0016cdd13b208cf,1371840230,46.110267,-88.794406,0
72,8/9/2020 23:23,3.44E+14,"fraud_Towne, Greenholt and Koepp",shopping_net,897.98,Shelby,Cannon,F,1535 Ryan Burgs Suite 919,Des Moines,IA,50312,41.5855,-93.6719,222785,Wellsite geologist,1/24/1956,f5ee082c3221273f02ecc6ab6decd201,1376090634,41.1751,-93.983309,1
73,7/19/2020 23:10,3.53E+15,fraud_Jast Ltd,shopping_net,843.65,Jeffrey,Smith,M,713 Scott Pike Apt. 712,Bridger,MT,59014,45.2857,-108.9082,1446,Chartered loss adjuster,1/15/1978,814ff486439058aa89b8070b5f962d4e,1374275440,45.933766,-109.034805,1
74,7/6/2020 19:11,4.46E+18,fraud_Kerluke Inc,misc_net,913.39,Kimberly,Bush,F,6027 Scott Meadows Suite 494,Dell City,TX,79837,31.924,-105.2099,579,Hydrogeologist,11/26/1945,74d7bc514cf714aa9e9ed9127611f178,1373137916,32.383445,-104.996947,1
75,8/2/2020 0:02,3.58E+15,"fraud_Gottlieb, Considine and Schultz",shopping_net,1034.33,Mary,Humphrey,F,9853 Flynn Hollow Apt. 602,Reynolds,ND,58275,47.7068,-97.2092,733,Visual merchandiser,11/12/1994,e5d9849bf300a0bfbe8c9c04d0b9fd5c,1375401720,48.171663,-97.431113,1
76,6/21/2020 19:43,3.50E+15,"fraud_Armstrong, Walter and Gottlieb",food_dining,5.86,Kenneth,Sanchez,M,0110 Ashley Forest,Tekoa,WA,99033,47.2271,-117.0819,895,Clothing/textile technologist,5/31/1999,c2113b038ff8ba5c83345065fa4ccea8,1371843821,47.328024,-117.70868,0
77,6/21/2020 17:38,6.39E+11,fraud_Gottlieb-Hansen,personal_care,73.81,Stephen,Lopez,M,696 Matthew Ford Suite 157,Olmsted,IL,62970,37.1935,-89.0933,639,Mechanical engineer,8/1/1982,96f74a76084ff7aa16ed97b94cad6860,1371836298,37.345992,-88.638954,0
78,6/21/2020 23:20,4.38E+18,fraud_Beier-Hyatt,shopping_pos,9.96,Thomas,Jenkins,M,93914 Gregory Via,Oakland,CA,94619,37.7878,-122.1884,381459,Barista,1/3/1974,b1d3c0d6c7186cbfa5833c203cae622b,1371856838,37.640887,-121.610259,0
79,6/21/2020 15:38,6.01E+15,"fraud_Nienow, Ankunding and Collier",misc_pos,9.99,Victoria,Fleming,F,2807 Parker Station Suite 080,Stanchfield,MN,55080,45.6675,-93.2433,2607,"Lecturer, further education",12/4/1995,aa0446e3b22769366579cdff65816f29,1371829123,46.210552,-94.23198,0
80,8/3/2020 3:01,4.65E+15,fraud_Murray-Smitham,grocery_pos,301.61,Monica,Tucker,F,302 Christina Islands,Smiths Grove,KY,42171,37.0581,-86.1938,6841,"Therapist, sports",6/6/1999,a22b1e3492a4aec8cc15073d82779f34,1375498877,37.723166,-86.562276,1
81,6/30/2020 0:16,5.72E+11,"fraud_Schoen, Kuphal and Nitzsche",grocery_pos,302.75,Susan,Mills,F,005 Cody Estates,Louisville,KY,40202,38.2507,-85.7476,736284,Engineering geologist,4/2/1952,16ded14a96590df73cefe07a030feef8,1372551368,38.526678,-85.630686,1
82,6/30/2020 3:27,3.53E+15,fraud_Kuhic Inc,grocery_pos,307.33,Lauren,Moreno,F,83719 Wilson Shore,Heislerville,NJ,8324,39.224,-74.9942,526,Exercise physiologist,9/6/1940,a56ef946aaa6ce8a461f001ff3fc3e02,1372562869,38.653216,-74.367462,1
83,6/21/2020 23:05,6.01E+15,fraud_Jakubowski Inc,home,53.54,William,Johnson,M,50843 Vincent Mission,South Londonderry,VT,5155,43.1699,-72.8515,828,Scientific laboratory technician,8/30/1957,ce6cef298296105502f19e81528b4ab8,1371855921,42.745821,-72.472512,0
84,6/21/2020 17:56,3.76E+14,"fraud_Wuckert, Wintheiser and Friesen",home,28.25,Dale,Smith,M,25036 Contreras Turnpike Suite 270,Purmela,TX,76566,31.4841,-97.9903,258,Web designer,12/15/1943,f13c87f9486c4df561e4ad39062165e6,1371837381,31.487065,-98.504538,0
85,8/6/2020 2:57,3.02E+13,fraud_Gutmann-Upton,misc_pos,7.45,Theresa,Powell,F,117 Natasha Vista Suite 936,Leonard,TX,75452,33.4044,-96.2238,4090,Sub,3/23/1977,9231bcc1472921055c59a718612c3717,1375757856,33.491536,-95.956002,1
86,6/21/2020 22:21,3.52E+15,"fraud_Hettinger, McCullough and Fay",home,59.55,Barbara,Lowe,F,67210 Lori Creek,Sherman,TX,75092,33.6372,-96.6184,46563,Systems developer,9/11/1970,a580d4be88dcbfd6aa0a296614d10f5f,1371853278,33.062466,-96.295968,0
87,6/21/2020 14:31,3.50E+15,fraud_Altenwerth-Kilback,home,27.12,Scott,Martin,M,31472 Cody Place Suite 740,Kensington,MD,20895,39.0298,-77.0793,19054,Operations geologist,9/8/1976,c3939b412c44c4eece77f4a527479629,1371825088,38.311119,-78.008794,0
88,7/26/2020 23:21,3.80E+13,"fraud_Rodriguez, Yost and Jenkins",misc_net,896.46,Sonya,Jensen,F,4470 Jillian Courts,Adams,WI,53910,43.8967,-89.8219,3508,Sport and exercise psychologist,8/11/1946,7dc023dadbe4e76928736388b794adb9,1374880868,43.418686,-89.40797,1
89,6/21/2020 13:12,2.29E+15,fraud_Towne LLC,misc_pos,3.27,Richard,Brown,M,17819 Jose Mount Suite 657,Heidelberg,MS,39439,31.882,-88.9981,4573,"Exhibitions officer, museum/gallery",2/15/1988,3e07083b31a9f4ec8572c8bdf404aa45,1371820323,30.913891,-89.899434,0
90,6/21/2020 18:02,3.65E+13,"fraud_Turcotte, McKenzie and Koss",entertainment,72.7,Michael,Gross,M,230 Ryan Tunnel Apt. 025,Fulton,OH,43321,40.4971,-82.8342,267,Facilities manager,1/29/2005,bc64f9ce5982da969d626382f6d0fc1d,1371837760,40.383071,-82.147218,0
91,6/21/2020 12:31,4.86E+18,fraud_Nader-Maggio,personal_care,68.88,Jeremy,Roberson,M,25887 Martin Inlet,Graniteville,VT,5654,44.1554,-72.4847,970,Agricultural consultant,9/29/1993,a2dbde4624ee6e24bb9633ce9fcd1672,1371817883,43.760065,-72.192128,0
92,6/21/2020 21:12,3.56E+15,"fraud_Walter, Hettinger and Kessler",personal_care,14.73,Timothy,Simmons,M,1049 John Ports Suite 057,Newberg,OR,97132,45.3099,-122.9685,28278,Research scientist (physical sciences),7/17/1977,e64196fd8d5bc643d6de957268079bf6,1371849131,44.369563,-122.185256,0
